"C#","Format","Card Name","Archetype","A+-","A","P","P+-","R","HP","Heroic","Slow","Silence","Disarm","Hidden Types","Mechanics","Flavor","Artist","UUID","Colorpip 1","Colorpip 2","Season tag","CardType","SecondCardUUID"
"175","Skill","Lullaby","Enchantress","","0","3","-","2","","","","Silence","Disarm","Aura Debuff","{Disarm 3} [d] target opponent, then {Attach} to them. Their max [p] is reduced by one. <(They don't lose excess resources.)>","Your autumn realm inspires awe within the lessers gathered.","Septimius Ferdian","0d970248bd1349c597b90f4e8914bd02","White","Red","S1","Spec",""
"176","Skill","My Realm","Enchantress","-","1","2","-","","","","","Silence","","Aura","{Attach} to yourself. At the start of your turn, make a tile {near} each opponent {Enchanted Terrain} [et]. After {Terrain} is made or removed {near} an enemy without having been replaced, deal 1 damage to them.","","Lucas Torquato","e6dca8f94ead4816a9d7bc1b7835993b","White","Red","S1","Spec",""
"177","Skill","Promise of Power","Enchantress","-","1","1","-","","","","","Silence","","Ability","Target opponent chooses one: - You draw two cards and gain [p] [p]. - They discard two cards and lose [p] [p].","""There will be reward, in time. For now, you must sacrifice.""","Wasan Techawibulchai","a8e9d4bff53d40e993ebd886daccb486","White","Red","S1","Spec",""
"178","Skill","Sleep","Enchantress","-","1","1","+","2","","","","Silence","Disarm","Ability Debuff","{Slow 2} [o] target opponent. Make a tile {near} them {Enchanted Terrain} [et].","""Rest well, good sir knight. You may not wake again.""","Benjamin Goutte","faec8032bce0495d9c081e462c93abab","White","Red","S1","Spec",""
"179","Skill","Spellbind","Enchantress","-","1","1","-","2","","H","","","","Instant Debuff","{Silence 1} [i] and {Disarm 1} [d] target opponent.","“You’re so very far from home. Do be careful, my sweet.""","Wasan Techawibulchai","7e1d757638b341f3952b835cea84c153","White","Red","S1","Spec",""
"180","Skill","Spurn","Enchantress","-","1","2","-","2","","","Slow","Silence","","Instant Ability","{Counter} target card unless its controller pays 3 {Resources}. If the card is {Countered}, they discard two cards.","""This is how my kindness is repaid? How dare you!""","Wasan Techawibulchai","29b0e50b300e4aa9823f9744ab9cd6ba","White","Red","S1","Spec",""
"181","Skill","Alter","Archmage","","0","1","-","3","","","","Silence","","Ability","Choose one: - {Destroy} target card. - Gain [n].","In Calbria, there is little that the Ley does not touch.","Paolo Cagampan","6d80254f16ee4b53912c8aa2069f1779","Blue","","S1","Spec",""
"182","Skill","Arcane Barrage","Archmage","-","1","1","+","3","","","","Silence","Disarm","Ability Debuff Attack","Deal 2 damage to target enemy. {Silence 1} [i] them. After {Arcane Barrage} resolves, you may pay [n] to play a {copy} for {free}. <(You may pay multiple [n].)>","","Benjamin Goutte","b85a5f7b9be94c6f9770af81e0e7c413","Blue","","S1","Spec",""
"183","Skill","Counterspell","Archmage","-","1","1","-","3","","H","","","","Instant Ability","{Counter} target card.","“... in conclusion, whomsoever first crafted the ‘Counterspell’ should burn in cosmic fire.” - Academy Thesis Paper","Wasan Techawibulchai","a07f72653e284e74ac498fe9a33433f7","Blue","","S1","Spec",""
"184","Skill","Disintegrate","Archmage","-","2","2","-","3","","","","Silence","Disarm","Ability Attack","Choose one: - Deal 10 damage to target enemy. - {Destroy} all cards and remove all {Terrain} {near} target tile.","Best not to incur the wrath of the Academy.","Septimius Ferdian","e01b3d38ccdd4a4984161f51364e1939","Blue","","S1","Spec",""
"185","Skill","Enigma","Archmage","","0","1","-","","","","","Silence","","Ability","{Cantrip} <(You may pay [n] to play this.)> The next {Feat} you play this turn costs no [a].","Who can say what discoveries await at the highest towers of the Academy?","Wasan Techawibulchai","43b23d4567ae43c483d8ec6ac4d93e26","Blue","","S1","Spec",""
"186","Skill","Polymorph","Archmage","-","1","1","-","3","","","","Silence","Disarm","Ability Debuff","{Disarm 3} [d] target opponent. {Stun} them. <(They lose a resource of their choice.)>","This would surely go down as the peasant's worst day in recent memory.","Alexandra Schastlivaya","a38c7bc01bb547c186ff93e0b89ee4cc","Blue","","S1","Spec",""
"187","Skill","Ray of Exhaustion","Archmage","-","1","2","-","3","","","","","Disarm","Debuff","{Attach} to target opponent until your next turn. They are {Exhausted}. <(Damage they take can't be reduced, they can't gain HP, and if they would draw a card, they instead take 5 damage.)>","","Septimius Ferdian","789266539f2f498f9cf6a906c822ebac","Blue","","S1","Spec",""
"188","Skill","Spellsurge","Archmage","","0","2","-","","","","","Silence","","Ability","{Cantrip} <(You may pay [n] to play this.)> You may play a card from your hand. If it resolves, return it to your hand.","His magic was faultless—a brilliant display of arcanomancy perfected over a lifetime.","Septimius Ferdian","1fda4e83bab044beb9746711fe1917f8","Blue","","S1","Spec",""
"189","Skill","Time Spiral","Archmage","","0","1","-","3","","","Slow","","Disarm","Instant Debuff","{Slow 1} [o] target opponent.","There is fantastic and boggling magic within. Not recommended for new wizards.","Wasan Techawibulchai","a99ca8740aa047c8b332d28b2d06419d","Blue","","S1","Spec",""
"190","Skill","Wish","Archmage","-","2","2","+","","","","","Silence","","Ability","Search your deck for a card and put it into your hand, then shuffle your deck.","Is it the Lady's work? Or perhaps something else?","Alexandra Schastlivaya","f346c876d4ab400b96d5e20bb2f89ea8","Blue","","S1","Spec",""
"191","Skill","Echoes","Illusionist","-","2","2","+","","","","","Silence","","Aura Ability","You may return an {Attack} card from your discard to your hand. {Attach} to yourself. After you resolve an {Attack} card targeting an enemy, deal 1 damage to them.","A thousand shattered angles to bring ruin to reality.","Wojciech Depczyński","14a92d7e036a4aa4ae545a7c32a8403d","Blue","Green","S1","Spec",""
"192","Skill","Hypnotize","Illusionist","-","1","1","+","3","","","Slow","Silence","","Instant Ability","{Counter} target card unless its controller pays 2 {Resources}. If the card is {Countered}, return it to the top of their deck.","""Don't fret. It's for the best if you simply forget.""","Ksenia Kozhevnikova","470349913a3c46a998a124a79d56c931","Blue","Green","S1","Spec",""
"193","Skill","Mimic","Illusionist","","","","","","","","","","","Attack","Play {Mimic} as an {Attack} card in another player's discard, then put that card on the bottom of their deck.","Imitation is the sincerest form of flattery.","Wasan Techawibulchai","ce882262dc9048d6abccc96e0661bfc9","Blue","Green","S1","Spec",""
"194","Skill","Mind Spike","Illusionist","","0","1","-","3","","","","","Disarm","Attack","Deal 3 damage to target enemy. You may put up to six copies of {Mind Spike} into your deck.","What is and isn't real means less when either will kill you.","Alexandra Schastlivaya","3baf45b84cef482c9def967db1d00035","Blue","Green","S1","Spec",""
"195","Skill","Mirror Image","Illusionist","","0","2","-","","","","Slow","Silence","","Instant Travel Aura","{Travel} up to two tiles. If the tile you were in is empty, {Attach} {Mirror Image} to it. At the end of your turn, {Stun} each opponent {near} {Mirror Image}.","You're simply seeing things. Mayhap you should visit the medicus?","Ksenia Kozhevnikova","5592f9c7a22446a280b07c8065ba4e6e","Blue","Green","S1","Spec",""
"196","Skill","Perplex","Illusionist","-","1","1","+","3","","","","Silence","","Ability","Add an instance of each type of {Control} target opponent is affected by to them.","A thousand shattered angles to bring ruin to reality.","Wasan Techawibulchai","a74572ce3abd44d7aa61143db420f156","Blue","Green","S1","Spec",""
"197","Skill","Phantasma","Illusionist","-","2","2","-","3","","","","Silence","Disarm","Ability Debuff","Target opponent puts the top seven cards of their deck into their discard. {Slow 2} [o] and {Disarm 2} [d] them.","You don't wish your enemies dead. Only raving mad.","Lucas Torquato","23897fd03f204c4aa2fb0224cf6942c1","Blue","Green","S1","Spec",""
"198","Skill","Puppeteer","Illusionist","-","1","1","-","3","","","","Silence","","Ability","{Attach} to target {Trait} another player controls. You control that {Trait}.","Their limbs move, and yet, they are not their own.","Benjamin Goutte","9727c54050d04bc7a581793673ec16a3","Blue","Green","S1","Spec",""
"199","Skill","Schism","Illusionist","-","1","1","+","","","","","Silence","","Ability","You may play a card for {free} unless any opponent deals 5 damage to themselves.","There are infinite possible futures. Which path they take is now up to them.","Benjamin Goutte","e1353d82b0d241e5959761bdde308f3b","Blue","Green","S1","Spec",""
"200","Skill","Vanity","Illusionist","-","1","2","+","","","H","","","","Ability","Heal yourself 3 HP.","You find these Calbrians so quaint.","Septimius Ferdian","ed285cc9b3a84db4b8ab01d575f77f28","Blue","Green","S1","Spec",""
"289","Feat","Godsend","Saint","","","","","","43","","","","","Passive - Ultimate","{Godsend} replaces and counts as your {Second Wind}. Gain a random {Relic}. ","You've spent your whole life training to become a Knight of the Chalice. Honor the Lady!","Septimius Ferdian","57c9d41700bc4e599e396d77f49531c7","White","","S1","Ultimate",""
"290","Feat","Errantry","Errant","","","","","","40","","","","","Passive - Ultimate","At the end of your turn, if you have three or less cards in your hand, you may draw a card.","You were elated the day you were squired as a Knight Victorious. Now, you scour the lands in search of fame and glory.","Septimius Ferdian","acc471a8f376498baa1e3834086ae738","White","Gray","S1","Ultimate",""
"293","Feat","Invoke","Invoker","","","","","","40","","","","","Passive - Ultimate","{Invoke} replaces your {Second Wind}. Remove all {Control} from yourself and {Reveal} the top three cards of your deck. You may play a card from among them for {free}. Put the rest into your discard.","You've torn incredible power from The Ley. Still, it whispers madness to you.","Septimius Ferdian","99efe8fa86dc4cb3bbeb94309445ee90","Red","","S1","Ultimate",""
"294","Feat","Enchanting","Enchantress","","","","","","39","","","","","Passive - Ultimate","At the start of your turn, make a tile {near} you {Enchanted Terrain} [et].","The Kingswood is your realm. You've hidden yourself away for years, waiting for a chance to put a sleepy town under your spell.","Septimius Ferdian","fb8eefccd5434a05a1542b681b327b2f","White","Red","S1","Ultimate",""
"295","Feat","Arcana","Archmage","-","1","2","+","","37","","","Silence","","Ability - Ultimate","","You've given countless lectures at the Academy, your tenure permanent. You are a master of magic, and it is clay in your hands.","Benjamin Goutte","41b4976fec7b4cdfa6eba9b52a811ce3","Blue","","S1","Ultimate",""
"296","Feat","Confuse","Illusionist","","","","","","38","","","","","Passive - Ultimate","After you resolve an {Attack} card targeting an opponent, put the top card of their deck into their discard. Apply to them an instance of each {Control} type the card is affected by that they don't already have.","You were once a charlatan, hiding behind smoke and mirrors. Now, you've shaped the Ley into something more, blurring the line between reality and imagination.","Benjamin Goutte","5609ab07e66c4d14aba44e8d568bb050","Blue","Green","S1","Ultimate",""
"301","Relic","Blessed Grail","Relic","","","","","","","H","","","","Ability - Relic","For the rest of the game, you have no max HP. Heal yourself 6 HP and remove all {Control} affecting you.","The Blessed Grail is fabled to cure any ailment of mind, body, or spirit.","Wasan Techawibulchai","6d2c2f2cbb7a4901aef18c0ad0c055f5","","","S1","Special",""
"302","Relic","Radiant Mantle","Relic","","","","","","","H","","","","Aura - Relic","{Attach} to yourself. If you would take damage, instead take 1 less damage. After an opponent resolves an {Attack} card targeting you, deal 1 damage to them.","To gaze upon the Mantle is painful. To strike at it is blasphemy.","Wasan Techawibulchai","42ff79604c544754934f8d1227de8716","","","S1","Special",""
"303","Relic","Divine Strength","Relic","","","","","","","H","","","","Ability - Relic","You may play a card for {free} [f]. That card gains {Heroic} [h].","A great calling infuses your very being. It is time to act.","Wasan Techawibulchai","a2df63a47a4840b991ba0aadaa5f87b7","","","S1","Special",""
"304","Relic","Stoic Helm","Relic","","","","","","","H","","","","Aura - Relic","{Attach} to yourself. You can't be {Stunned} or {Exhausted}, nor forced by an enemy to {Travel} or discard cards by any means. While you are {Controlled}, you can't receive {Control}.","They say the one who dons the Stoic Helm never speaks again.","Wasan Techawibulchai","e298e5c4a3054f2f91f569a357d4854e","","","S1","Special",""
"305","Relic","Symbol of Wrath","Relic","","","","","","","H","","","","Ability - Relic","Deal 7 damage to each opponent. {Stun} each opponent, then {Stun} each opponent again. <(Each enemy loses two resources of their choice.)>","The keepsake of Gwayne the Red. Said to smite only those with a black heart.","Wasan Techawibulchai","fe7f23c2720d416cb42dc01c224f81fa","","","S1","Special",""
"306","Relic Skill","Prismatic Light","Relic","-","1","1","+","","","H","","","","Instant Ability - Relic","When you gain {Prismatic Light}, put it into your hand. It can't be discarded. {Counter} target card unless its controller pays 3 {Resources}. Then, become {Chivalrous} [c].","Is it the essence of The Lady herself? Or perhaps a remnant of a greater deity?","Wasan Techawibulchai","bf7fd2e5062f4654912bbe639237dcac","","","S1","Special",""
"307","Relic","Pilgrim's Tome","Relic","","","","","","","H","","","","Ability - Relic","Gain [p] [p] [p] and [n] [n]. {Pilgrim's Tome} can cause you to exceed your max [p] and [n].","Each path is documented meticulously. Each rite is accompanied by the proper prayer.","Wasan Techawibulchai","805f6f216f4e4ed488ac773bc04591dd","","","S1","Special",""
"308","Relic","Ashen Blade","Relic","","","","","","","H","","","","Aura - Relic","{Attach} to yourself. Your {Attack} cards gain {Heroic} [h], and after you resolve an {Attack} card targeting a {nearby} enemy, deal more damage to them equal to the card's {Resource} cost.","","Wasan Techawibulchai","33183aee98e14abb8994e1d18d2e2b1a","","","S1","Special",""
"1","Skill","Calm Spirit","Manifest","-","1","1","-","3","","","Slow","","Disarm","Instant Debuff Attack","Deal 3 damage to target enemy. {Disarm 2} [d] them.","The body seeks battle but the spirit seeks peace.","Septimius Ferdian","cbe5066107c34673ac6a7bde1ba4c9fb","White","","S0","Class",""
"2","Skill","Cast Away","Manifest","","0","1","-","3","","","Slow","Silence","","Travel Ability","Choose one: - {Destroy} target card. - {Travel} another target character away from you one tile.","The curseblade sought secrets, but instead learned his place.","Cynthia F.G.","d457a1e0e4304cd3a3415b22d3597699","White","","S0","Class",""
